"lang_iso_code","sk"
"lang_alphabet","A;Á;Ä;B;C;Č;D;Ď;Dz;Dž;E;É;F;G;H;Ch;I;Í;J;K;L;Ĺ;Ľ;M;N;Ň;O;Ó;Ô;P;R;Ŕ;S;Š;T;Ť;U;Ú;V;Y;Ý;Z;Ž"
"smscurrency","EUR"
"All years","Všetky roky"
"About","O nás"
"Mage SMS module 2013-%s, version ","Mage SMS modul 2013-%s, verzia "
"Copyright © TOPefekt s.r.o., All rights reserved","Copyright © TOPefekt s.r.o., Všetky práva vyhradené"
"Developer:","Vývojár:"
"TOPefekt s.r.o.","TOPefekt s.r.o."
"Address:","Adresa:"
"B. Nemcove 767/13","B. Němcové 767/13"
"78701 Sumperk","78701 Šumperk"
"Czech Republic","Česká Republika"
"VAT: CZ29444268","DIČ: CZ29444268"
"Office Telephone:","Telefón:"
"+420 581 110 998","+420 581 110 998"
"E-mail:","E-mail:"
"sales@topefekt.com","sales@topefekt.com"
"support@topefekt.com","support@topefekt.com"
"Web:","Web:"
"www.mage-sms.com","www.mage-sms.com"
"www.mage-sms.com/","www.mage-sms.com/sk/index.html"
"Admin SMS","Admin SMS"
"Select events during which shall be shop administrators notified via SMS and customize text of messages.","Vyberte udalosti, pri ktorých budú administrátori obchodu upozornení SMS správou a definujte text týchto správ."
"Unicode SMS","Unicode SMS"
"unicode","unicode"
"Check only if you want to use Chinese, Arabic, Greek, Hebrew, Korean, Cyrillic, etc. or diacritic in the text of your SMS message (Unicode text allows you to insert characters in all fonts and various other symbols simultaneously. Number of characters in one SMS will be reduced to 70).","Zaškrtnite iba ak chcete v správe použiť diakritiku alebo jazyky ako je čínština, arabčina, gréčtina, hebrejčina, kórejčina, apod. (Unicode umožňuje použiť súčasne rôzne fonty a symboly. Počet znakov v jednej Unicode správe je 70)."
"Save","Uložiť"
"Sending notifications via SMS is ACTIVE","Odosielanie sms notifikácií je AKTÍVNE."
"Sending notifications via SMS is NOT ACTIVE. To activate SMS sending check at least one administrator.","Odosielanie sms notifikácií NIE JE AKTÍVNE. Odosielanie SMS aktivujete zaškrtnutím aspoň jedného administrátora."
"Update of order status","Aktualizácia stavu objednávky"
"Account","Účet"
"Product","Produkt"
"Order status","Stav objednávky"
"Order","Objednávka"
"Admin SMS - not active","Admin SMS - neaktívny"
"Please add at least one administrator!","Prosím pridajte aspoň jedného administrátora!"
"User profile is not active! To register click on the SMS tab in the main menu. Module will display you screen for entering registration data. If you have used our module in the past and you know your username and password, fill in form for existing account. Otherwise fill in your email, accept the license terms and click register.","Užívateľský profil nie je aktívny! Zaregistrujte sa kliknutím na záložku SMS v hlavnom menu. Modul Vám zobrazí registračný formulár.Ak ste už modul v minulosti používali a poznáte Vaše užívateľské meno a heslo, vyplňte formulár pre existujúci účet. V opačnom prípade zadajte email, odsúhlaste licenčné podmienky a kliknite na ""Registrovať""."
"Invalid SMS text","Neplatný text SMS správy"
"Text of SMS was saved.","Text SMS správy bol uložený."
"Unicode saved.","Unicode uložený."
"char","Znak"
"chars","Znakov"
"label","Štítok"
"SMS text","SMS text"
"total sms:","celkom sms:"
"Enter SMS text","Zadajte text SMS správy"
"Preview","Náhľad"
"Administrators","Adminstrátori"
"Save","Uložiť"
"Cancel","Zrušiť"
"Restore unsaved changes to its original state.","Vráti neuložené zmeny do pôvodného stavu."
"User profile - not active","Užívateľský profil - neaktívny"
"User profile - active","Užívateľský profil - aktívny"
"New user account","Nový užívateľský účet"
"Not registered yet? Create account now!","Ešte ste sa neregistrovali? Vytvorte si účet teraz!"
"Email:","Email:"
"Company name:","Meno firmy:"
"Street:","Ulica:"
"City:","Mesto:"
"ZIP:","PSČ:"
"Country:","Štát:"
"Company ID:","IČO:"
"Company VAT:","IČ DPH:"
"Referer ID:","Referer ID:"
"View licence terms:","Zobraziť licenčné podmienky:"
"I agree","Súhlasím"
"I dont agree","Nesúhlasím"
"Register","Registrovať"
"Required field","Požadované pole"
"Sign in","Prihlásiť"
"If You already have an account, please sign in.","Ak už máte založený účet, prosím prihláste sa"
"Username:","Užívateľ:"
"Password:","Heslo:"
"Log in","Prihlásiť"
"Edit user account","Upraviť užívateľský účet"
"Save","Uložiť"
"User account info","Informácie o užívateľskom účte"
"SMS Credit:","SMS kredit:"
"Add administrators","Pridať administrátora"
"Name:","Meno:"
"Mobile number:","Mobil:"
"Edit","Upraviť"
"Add","Pridať"
"Other settings","Ďalšie nastavenie"
"Simulate SMS sending:","Simulovať odoslanie SMS:"
"Allows to test sending of SMS in modul and to view sent SMS in SMS history with a special status.","Umožňuje testovať odoslanie SMS a zobraziť testovaciu SMS v záložke História SMS."
"Delete database:","Zmazať databázu:"
"Allows to decide if current SMS settings and database of sent SMS shall be stored when uninstalling SMS module.","Umožňuje rozhodnúť sa, či zachovať aktuálne nastavenie a databázu odoslaných SMS v prípade odinštalovania modulu SMS-Prestashop."
"Delivery reports:","Informácie o doručení (DR):"
"Allows to see delivery reports of SMS in SMS history Tab.","Zobrazí informáciu o doručení v záložke História SMS."
"Low credit alert:","Upozornenie na nízky kredit:"
" Allows to receive email when your SMS credit is low.","Umožňuje obdržať email v prípade, že Váš SMS kredit je nízky."
"Email for delivery reports:","Email pre príjem doručeniek:"
"Allows to receive email with delivery report of SMS.","Umožňuje obdržať email so správou o doručení SMS."
"Admin was created.","Správca bol vytvorený."
"You have to agree with licence terms.","Musíte odsúhlasiť licenčné podmienky."
"Account was created.","Registrace byla úspěšná. Do Vaší mailové schránky jsme Vám zaslali email pro potvrzení Vaší adresy a získání 5 kreditů zdarma."
"you can add another account after ","Ďalší účet môžete pridať za "
"minutes"," minút"
"can not connect to SMS server","nie je možné sa pripojiť k SMS serveru"
"You were succesfully loged in.","Boli ste úspěšne prihlásený."
"error","chyba"
"login error","chyba prihlásenia"
"Invalid e-mail for delivery report.","Neplatný email pre správy o doručení."
"Invalid e-mail","Neplatný e-mail"
"Account was changed.","Účet bol zmenený."
"Account was changed, but module URL for DR does not answer.","Účet bol zmenený, ale URL modulu pre správy o doručení neodpovedá."
"you can change account after ","Účet bude možné zmeniť za "
" seconds"," sekúnd"
"Invalid name","Neplatné meno"
"Invalid number","Neplatné číslo"
"Admin was changed.","Správca bol zmenený."
"Admin was deleted.","Správca bol zmazaný."
"no changes were made","neboli vykonané žiadne zmeny"
"Are you sure to delete","Naozaj si želáte odstrániť"
"DELETE administrator","ODSTRÁNIŤ správcu"
"EDIT administrator","UPRAVIŤ správcu"
"in international format, no leading zeros or a “+” sign, e.g., 447971796595","v medzinárodnom formáte, bez núl alebo znamienka “+” , napr., 421903123456"
"(when uninstall)","(pri odinštalovaní)"
"(0 = no alert)","(0 = bez upozornenia)"
"Fill in username and password.","Zadajte užívateľské meno a heslo"
"Customer SMS - ","Zákaznícke SMS - "
"Customer SMS - not active","Zákaznícke SMS - neaktívne"
"default","pôvodné"
" language version"," jazyková verzia"
"Select events during which shall be customer notified via SMS and customize text of messages. You can also add a new language version of SMS messages for each country separately. In countries with undefined language version will be used default language version.","Vyberte udalosti, pri ktorých bude zákazník upozornený SMS správou a definujte text týchto správ. Pre rôzne štáty môžete taktiež vytvárať rôzne jazykové mutácie SMS správ. Pri štátoch s nedefinovanou mutáciou bude použitá pôvodná verzia."
"Add SMS text version","Pridať jazykovú mutáciu"
"Select country: ","Vyberte štát: "
"Unicode SMS","Unicode SMS"
"Check only if you want to use Chinese, Arabic, Greek, Hebrew, Korean, Cyrillic, etc. or diacritic in the text of your SMS message (Unicode text allows you to insert characters in all fonts and various other symbols simultaneously. Number of characters in one SMS will be reduced to 70).","Zaškrtnite iba ak chcete v správe použiť diakritiku alebo jazyky ako je čínština, arabčina, grečtina, hebrejčina, kórejčina, apod. (Unicode umožňuje použiť súčasne rôzne fonty a symboly. Počet znakov v jednej Unicode správe je 70)."
"Order status","Stav objednávky"
"Sending notifications via SMS is ACTIVE","Odosielanie sms notifikácií je AKTÍVNE."
"Sending notifications via SMS is NOT ACTIVE. To activate SMS sending check „Active“ in desired status detail.","Odosielanie sms notifikácií NIE JE AKTÍVNE. Odosielanie SMS aktivujete zaškrtnutím „Aktívne“ v detaile požadovaného stavu."
" Update of order status "," Aktualizácia stavu objednávky "
"Account","Účet"
"User profile is not active! To register click on the SMS tab in the main menu. Module will display you screen for entering registration data. If you have used our module in the past and you know your username and password, fill in form for existing account. Otherwise fill in your email, accept the license terms and click register.","Užívateľský profil nie je aktívny! Zaregistrujte sa kliknutím na záložku SMS v hlavnom menu. Modul Vám zobrazí registračný formulár.Ak ste už modul v minulosti používali a poznáte Vaše užívateľské meno a heslo, vyplňte formulár pre existujúcí účet. V opačnom prípade zadajte email, odsúhlaste licenčné podmienky a kliknite na ""Registrovať""."
"Invalid SMS text","Neplatný text SMS správy"
"Text of SMS was saved.","Text SMS správy bol uložený."
"SMS text version was deleted.","Jazyková mutácia bola odstránená."
"Are you sure to delete","Naozaj si želáte odstrániť"
"DELETE language version","ODSTRÁNIŤ jazykovú mutáciu"
"SMS text","Text SMS správy"
"unicode","unicode"
"SMS text version for ","Jazyková mutácia pre "
" was saved"," bola uložená"
"Preview","Náhľad"
"Active","Aktívne"
"Save","Uložiť"
"Cancel","Zrušiť"
"total sms:","celkom sms:"
"EDIT language version","UPRAVIŤ jazykovú mutáciu"
"Edit","Upraviť"
"Add","Pridať"
"Order","Objednávka"
"Chars","Znakov"
"Unicode was saved.","Unicode bol uložený."
"Restore unsaved changes to its original state.","Vráti neuložené zmeny do pôvodného stavu."
"Purchase Credit","Kúpiť kredit"
"Purchase Credit - not active","Kúpiť kredit - neaktívne"
"User profile is not active! To register click on the SMS tab in the main menu. Module will display you screen for entering registration data. If you have used our module in the past and you know your username and password, fill in form for existing account. Otherwise fill in your email, accept the license terms and click register.","Užívateľský profil nie je aktívny! Zaregistrujte sa kliknutím na záložku SMS v hlavnom menu. Modul Vám zobrazí registračný formulár.Ak ste už modul v minulosti používali a poznáte Vaše užívateľské meno a heslo, vyplňte formulár pre existujúcí účet. V opačnom prípade zadajte email, odsúhlaste licenčné podmienky a kliknite na ""Registrovať""."
" In case methods for credit purchase are not displayed properly, please click here:","V prípade, že se Vám nezobrazuje výber možností dobitia kreditu, kliknite, prosím, tu:"
"Bulk SMS text","Text hromadné SMS správy"
"Add recipients ","Pridajte príjemcu "
"Add one or more recipients separated by commas. Number must be in international format, no leading zeros or “+“ sign.","Pridajte jedného alebo viac príjemcov oddelených čiarkou. Číslo musí byť v mezinárodnom formáte, bez núl alebo znamienka “+” , napr., 421903123456"
" (e.g. 447971796595)"," (napr.: 421903123456)"
"Enter SMS text","Vložte text SMS správy"
"Add recipients in CSV file ","Pridajte príjemcu v CSV súbore "
"CSV file - 1 column, 1st column - number (Number must be in international format, no leading zeros or “+“ sign; e.g. 447971796595)","CSV súbor - 1 stĺpec, 1.stĺpec - číslo (Číslo musí byť v mezinárodnom formáte, bez núl alebo znamienka “+” , napr., 421903123456)"
" Unicode "," Unicode "
"Check only if you want to use Chinese, Arabic, Greek, Hebrew, Korean, Cyrillic, etc. or diacritic in the text of your SMS message (Unicode text allows you to insert characters in all fonts and various other symbols simultaneously. Number of characters in one SMS will be reduced to 70).","Zaškrtnite iba ak chcete v správe použiť diakritiku alebo jazyky ako je čínština, arabčina, grečtina, hebrejčina, kórejčina, apod. (Unicode umožňuje použiť súčasne rôzne fonty a symboly. Počet znakov v jednej Unicode správe je 70)."
"Your time: ","Váš čas: "
"Time: ","Čas: "
"time zone: ","časová zóna: "
"time zone settings","nastavenie časovej zóny"
"Text is too long","Text je príliš dlhý"
"Send SMS","Odoslať SMS"
"Send","Odoslať"
"Send SMS or bulk SMS. Enter mobile numbers or upload CSV file.","Odosielánie SMS alebo hromadných SMS. Vložte telefónne čísla alebo nahrajte CSV súbor."
"Send SMS - not active","Odoslať SMS - neaktívne"
"User profile is not active! To register click on the SMS tab in the main menu. Module will display you screen for entering registration data. If you have used our module in the past and you know your username and password, fill in form for existing account. Otherwise fill in your email, accept the license terms and click register.","Užívateľský profil nie je aktívny! Zaregistrujte sa kliknutím na záložku SMS v hlavnom menu. Modul Vám zobrazí registračný formulár.Ak ste už modul v minulosti používali a poznáte Vaše užívateľské meno a heslo, vyplňte formulár pre existujúcí účet. V opačnom prípade zadajte email, odsúhlaste licenčné podmienky a kliknite na ""Registrovať""."
"Fill in SMS text.","Vyplňte text SMS správy"
"SMS text is too long (max. 612 characters).","Text SMS správy je príliš dlhý (max. 612 znakov)."
"SMS text is too long (max. 268 unicode characters).","Text SMS správy je príliš dlhý (max. 268 unicode znakov)."
"Wrong time of SMS sending.","Nesprávny čas odoslania SMS."
"Recipients found: 0","Nájdených príjemcov: 0"
"You do not have enough credit to send SMS to all ","Nemáte dostatočný kredit na odoslanie SMS správy všetkým "
" recipients."," príjemcom."
"SMS was sent.","Správa SMS bola odoslaná."
"SMS was saved.","Správa SMS bola uložená."
"wrong number or unavailable","Nesprávne alebo nedostupné číslo"
"unauthorized senderID in confirmation sms","neautorizované ID odosielateľa v potvrdzovacej SMS"
"low credit for sending sms","Nízky kredit pre odoslanie SMS správy"
"unicode is not supported","unicode nie je podporovaný"
"login error","chyba prihlásenia"
"can not connect to SMS server","nie je možné sa pripojiť k SMS serveru"
"SMS SIMULATION (Sending of SMS was simulated. Recipient will not receive SMS)","SMS SIMULÁCIA (Odoslanie SMS bolo simulované. Príjemca neobdrží SMS správu.)"
"SMS was sent (simulation).","SMS bola odoslaná (simulácia)."
"error","chyba"
" Send later "," Odoslať neskôr "
"Characters: ","Znakov: "
"1hr","1hod"
"Date: ","Dátum: "
"SMS Answers","SMS Odpovede"
"SMS answer from customer is displayed only when customer receives SMS from your shop with SMS sender type „System number“ and customer replies using his own mobile phone.","SMS odpoveď od zákazníka je zobrazená iba ak zákazník z Vašeho obchodu obdrží SMS s typom odosielateľa ""systémové číslo"" a zákazník odpovie z rovnakého telefónneho čísla."
"Show","Ukázať"
"Search results ","Výsledok hľadania "
" of "," z "
"SMS center","SMS centrum"
"Date","Dátum"
"From number","Z čísla"
"new","nový"
"Previous","Predchádzajúci"
"Next","Ďalší"
" Page: "," Strana: "
"SMS Answers - not active","SMS Odpovede - neaktívne"
"User profile is not active! To register click on the SMS tab in the main menu. Module will display you screen for entering registration data. If you have used our module in the past and you know your username and password, fill in form for existing account. Otherwise fill in your email, accept the license terms and click register.","Užívateľský profil nie je aktívny! Zaregistrujte sa kliknutím na záložku SMS v hlavnom menu. Modul Vám zobrazí registračný formulár.Ak ste už modul v minulosti používali a poznáte Vaše užívateľské meno a heslo, vyplňte formulár pre existujúcí účet. V opačnom prípade zadajte email, odsúhlaste licenčné podmienky a kliknite na ""Registrovať""."
"year","rok"
"month","mesiac"
"SMS","SMS"
"Text:","Text:"
"Total SMS answers: 0","Celkom SMS odpovedí: 0"
"SENT to recipient","ODOSLANÉ príjemcovi"
"ERROR","CHYBA"
"DELIVERED to recipient","DORUČENÉ príjemcovi"
"RECIPIENT UNAVAILABLE","PRÍJEMCA NEDOSTUPNÝ"
"SMS History","SMS História"
"History of sent SMS from SMS module.","História odoslaných SMS správ z SMS modulu."
" admin sms"," admin sms"
" customer sms"," zákaznícke sms"
" marketing sms"," marketingové sms"
" simple sms"," jednoduché sms"
"Show","Ukázať"
"Search results ","Výsledok hľadania "
" of "," z "
"Type","Typ"
"Date","Dátum"
"SMS subject","SMS predmet"
"Number","Číslo"
"yes","áno"
"no","nie"
"system number","systémové číslo"
"Credit balance:","Stav účtu:"
"Display customer detail","Zobraziť detail zákazníka"
"Text:","Text:"
"Total SMS:","Celkom SMS:"
"SMS History - not active","SMS História - neaktívne"
"User profile is not active! To register click on the SMS tab in the main menu. Module will display you screen for entering registration data. If you have used our module in the past and you know your username and password, fill in form for existing account. Otherwise fill in your email, accept the license terms and click register.","Užívateľský profil nie je aktívny! Zaregistrujte sa kliknutím na záložku SMS v hlavnom menu. Modul Vám zobrazí registračný formulár.Ak ste už modul v minulosti používali a poznáte Vaše užívateľské meno a heslo, vyplňte formulár pre existujúcí účet. V opačnom prípade zadajte email, odsúhlaste licenčné podmienky a kliknite na ""Registrovať""."
"SMS price in credits:","Cena v kreditoch:"
"year","rok"
"month","mesiac"
"Status","Stav"
"Recipient","Príjemca"
"Unicode:","Unicode:"
"senderID:","Číslo odosielateľa:"
"Previous","Predchádzajúci"
"Next","Ďalší"
" Page: "," Strana: "
"Total SMS: 0","Celkom SMS: 0"
"SMS","SMS"
"SMS Marketing - bulk SMS text","SMS Marketing - text hromadnej SMS správy"
"Enter SMS text","Vložte text SMS správy"
" Unicode "," Unicode "
