"store","websites","attribute_set","type","category_ids","sku","has_options","name","gift_message_available","url_key","url_path","country_of_manufacture","msrp_enabled","msrp_display_actual_price_type","meta_title","meta_description","image","small_image","thumbnail","custom_design","page_layout","options_container","image_label","small_image_label","thumbnail_label","price","special_price","cost","weight","msrp","status","visibility","tax_class_id","is_recurring","em_featured","em_deal","em_hot","description","short_description","meta_keyword","custom_layout_update","news_from_date","news_to_date","special_from_date","special_to_date","custom_design_from","custom_design_to","qty","min_qty","use_config_min_qty","is_qty_decimal","backorders","use_config_backorders","min_sale_qty","use_config_min_sale_qty","max_sale_qty","use_config_max_sale_qty","is_in_stock","low_stock_date","notify_stock_qty","use_config_notify_stock_qty","manage_stock","use_config_manage_stock","stock_status_changed_auto","use_config_qty_increments","qty_increments","use_config_enable_qty_inc","enable_qty_increments","is_decimal_divided","stock_status_changed_automatically","use_config_enable_qty_increments","product_name","store_id","product_type_id","product_status_changed","product_changed_websites"
"admin","base","Default","simple","335,369,589","4902856424053","0","日本 Morita盛田 荞麦面调味汁 500ml","No","00002","00002.html"," ","Use config","Use config","","","/00002/1.jpg","/00002/1.jpg","/00002/1.jpg","default/galayomarket","2 columns with left bar","Product Info Column","","","","4.69","","","2.10","","Enabled","Catalog, Search","None","No","","","","<p><strong>品名</strong> : 盛田荞麦调味汁</p>
<p><strong>产地</strong> :日本<br /> <strong>成份</strong> : 酿造酱油（大豆，小麦，水，食用盐），水，果葡糖浆，白砂糖<br /> <strong>保存期限</strong> :12个月</p>","它是用北海道海带和鲣鱼干汤结合的荞麦面汤料，味道清爽的汤配上适合的甜度，顺利地与荞麦面融合享受。","","","","","","","","","0.0000","0.0000","1","0","0","1","1.0000","1","0.0000","1","0","","0.0000","1","0","0","1","1","0.0000","1","0","0","1","1","日本 Morita盛田 荞麦面调味汁 500ml","0","simple","",""
"admin","base","Default","simple","335,369,589","4902856420055","0","日本 Morita盛田 冷面调味汁 500ml","No","00003","00003.html"," ","Use config","Use config","","","/00003/1.jpg","/00003/1.jpg","/00003/1.jpg","default/galayomarket","2 columns with left bar","Product Info Column","","","","4.69","","","2.10","","Enabled","Catalog, Search","None","No","","","","<p><strong>商品品牌：</strong>盛田冷面蘸汁 荞麦面蘸汁 素面汁</p>
<p><strong>商品规格：</strong>净含量500g</p>
<p><strong>商品产地：</strong>日本本土生产销售</p>
<p><strong>食用方法：</strong>打开包装即可食用</p>
<p><strong>保存方法：</strong>请避免高温潮湿、直射日光，常温保存。</p>","日本的著名品牌，拌面用的调味汁。","","","","","","","","","0.0000","0.0000","1","0","0","1","1.0000","1","0.0000","1","0","","0.0000","1","0","0","1","1","0.0000","1","0","0","1","1","日本 Morita盛田 冷面调味汁 500ml","0","simple","",""
"admin","base","Default","simple","335,364,557","041390022036","0","日本 Kikkoman 鲣鱼汁昆布浓缩酱油 500ml","No","00004","00004.html"," ","Use config","Use config","","","/00004/1.jpg","/00004/1.jpg","/00004/1.jpg","default/galayomarket","2 columns with left bar","Product Info Column","","","","6.49","","","2.10","","Enabled","Catalog, Search","None","No","","","","<p><strong>品名</strong> : 盛田鲣鱼露(浓缩两倍)<br /> <strong>产地</strong> : 日本<br /> <strong>成份</strong> : 酱油、风味原料（鲣鱼粉、海带）、糖类（葡萄液糖、果糖、白砂糖）、食盐、味淋、氨基酸</p>
<p><strong>食用方法 : </strong>本品为浓缩型，稀释后可作面类汤料。也可作为各式菜肴的调味料</p>
<p><strong>保存期限</strong> : 18个月</p>","本品选用宗田鰹鱼、脂眼鲱、鲱鱼制成鱼花，加上优质真昆布，尽显汤汁的原汁原味。","","","","","","","","","0.0000","0.0000","1","0","0","1","1.0000","1","0.0000","1","0","","0.0000","1","0","0","1","1","0.0000","1","0","0","1","1","日本 Kikkoman 鲣鱼汁昆布浓缩酱油 500ml","0","simple","",""
"admin","base","Default","simple","335,369,589","041390021503","0","日本 Kikkoman 肉扒酱 340g","No","00005","00005.html"," ","Use config","Use config","","","/00005/1.jpg","/00005/1.jpg","/00005/1.jpg","default/galayomarket","2 columns with left bar","Product Info Column","","","","3.29","","","1.15","","Enabled","Catalog, Search","None","No","","","","<p><strong>品名</strong> : Kikkoman肉扒酱<br /> <strong>产地</strong> : 日本<br /> <strong>成份</strong> : 白砂糖，苹果酱，水，醋，酱油，盐，食物淀粉，辣椒，蒜粉,萝卜，番茄酱</p>
<p><strong>保存期限</strong> : 18个月</p>","风味十足的万字肉扒酱堪称经典，伴着日本炸猪排及日式猪扒面包美味健康。它是又苹果酱，洋葱，番茄酱，胡萝卜和自然酿造的万字酱油完美结合的美味酱料。","","","","","","","","","0.0000","0.0000","1","0","0","1","1.0000","1","0.0000","1","0","","0.0000","1","0","0","1","1","0.0000","1","0","0","1","1","日本 Kikkoman 肉扒酱 340g","0","simple","",""
"admin","base","Default","simple","335,369,589","041390047602","0","日本 Kikkoman 甜酸酱 340g","No","00006","00006.html"," ","Use config","Use config","","","/00006/1.jpg","/00006/1.jpg","/00006/1.jpg","default/galayomarket","2 columns with left bar","Product Info Column","","","","2.69","","","1.13","","Enabled","Catalog, Search","None","No","","","","<p><strong>品名</strong> : Kikkoman 酸甜酱</p>
<p><strong>产地</strong> : 美国</p>
<p><strong>成份</strong> : 水，糖，天然酿造酱油（水，小麦，大豆，盐），醋，改性食用淀粉，番茄菠萝浓缩液，洋葱粉，胭脂红（彩色），青椒片，苯甲酸钠;少于十分之一的1％作为防腐剂，柠檬酸，大蒜粉，肌苷酸二钠，鸟苷酸二钠，红辣椒。</p>
<p><br /> <strong>保存期限</strong> :12个月</p>","天然酿造的酸甜酱，番茄酱，菠萝，洋葱，青椒，打算和红辣椒混合在一起带给你真正亚洲的味道。","","","","","","","","","0.0000","0.0000","1","0","0","1","1.0000","1","0.0000","1","0","","0.0000","1","0","0","1","1","0.0000","1","0","0","1","1","日本 Kikkoman 甜酸酱 340g","0","simple","",""
"admin","base","Default","simple","335,369,589","041390011108","0","日本 Kikkoman 照烧涂抹酱 336g","No","00008","00008.html"," ","Use config","Use config","","","/00008/1.jpg","/00008/1.jpg","/00008/1.jpg","default/galayomarket","2 columns with left bar","Product Info Column","","","","3.49","","","1.17","","Enabled","Catalog, Search","None","No","","","","<p><strong>品名</strong> : Kikkoman 照烧烧烤酱<br /> <strong>产地</strong> : 美国<br /> <strong>成份</strong> : 天然酿造酱油（水，小麦，大豆，盐），糖，水，改性食用淀粉，醋，葱汁，天然香料，大蒜粉，延胡索酸，脱水酵母，发酵的小麦蛋白，苯甲酸钠：小于1/ 10的1％作为防腐剂，调味品。<br /> <strong>保存期限</strong> : 12个月</p>","方便美味的烧肉酱。只要在烹饪或烧烤最后十分钟刷上，风味极佳。","","","","","","","","","0.0000","0.0000","1","0","0","1","1.0000","1","0.0000","1","0","","0.0000","1","0","0","1","1","0.0000","1","0","0","1","1","日本 Kikkoman 照烧涂抹酱 336g","0","simple","",""
"admin","base","Default","simple","335,364,562","041390009020","0","日本 Kikkoman 蚝油(红瓶装) 351g","No","00009","00009.html"," ","Use config","Use config","","","/00009/1.jpg","/00009/1.jpg","/00009/1.jpg","default/galayomarket","2 columns with left bar","Product Info Column","","","","2.29","","","1.21","","Enabled","Catalog, Search","None","No","","","","<p><strong>品名</strong> : Kikkoman蚝油<br /> <strong>产地</strong> : 美国<br /> <strong>成份</strong> : 水，糖，盐，蚝油浓缩汁[牡蛎（贝类），水，盐]，改性玉米淀粉，味精，焦糖色素，酵母提取物，牡蛎提取物（贝类）。<br /> <strong>保存期限</strong> :12个月</p>","正宗亚洲风味的耗油是由新鲜肥美的牡蛎中提取而成，淡淡的甜味与鲜味能为你的佳肴提鲜。","","","","","","","","","0.0000","0.0000","1","0","0","1","1.0000","1","0.0000","1","0","","0.0000","1","0","0","1","1","0.0000","1","0","0","1","1","日本 Kikkoman 蚝油(红瓶装) 351g","0","simple","",""
"admin","base","Default","simple","335,369,583","041390020278","0","日本 Kikkoman 蒸鱼豉油 296ml","No","00010","00010.html"," ","Use config","Use config","","","/00010/1.jpg","/00010/1.jpg","/00010/1.jpg","default/galayomarket","2 columns with left bar","Product Info Column","","","","2.29","","","1.22","","Enabled","Catalog, Search","None","No","","","","<p><strong>品名</strong> : Kikkoman 蒸鱼豉油<br /> <strong>产地</strong> : 美国<br /> <strong>成份</strong> : 水，糖，盐，蚝油浓缩汁[牡蛎（贝类），水，盐，改性玉米淀粉，味精，焦糖色素，酵母提取物，牡蛎提取物（贝类）。<br /> <strong>保存期限</strong> :12个月</p>","正宗亚洲风味的耗油是由新鲜肥美的牡蛎中提取而成，淡淡的甜味与鲜味能为你的佳肴提鲜。","","","","","","","","","0.0000","0.0000","1","0","0","1","1.0000","1","0.0000","1","0","","0.0000","1","0","0","1","1","0.0000","1","0","0","1","1","日本 Kikkoman 蒸鱼豉油 296ml","0","simple","",""
"admin","base","Default","simple","335,369,589","041390021657","0","日本 Kikkoman 牛排酱 336g","No","00011","00011.html"," ","Use config","Use config","","","/00011/1.jpg","/00011/1.jpg","/00011/1.jpg","default/galayomarket","2 columns with left bar","Product Info Column","","","","3.49","","","1.17","","Enabled","Catalog, Search","None","No","","","","<p>品名 : 盛田鲣鱼露(浓缩两倍:12个月</p>","万字牛排酱浓郁的风味源自天然酿造的酱油及混合苹果酱的香甜，让牛排的味道升华。","","","","","","","","","0.0000","0.0000","1","0","0","1","1.0000","1","0.0000","1","0","","0.0000","1","0","0","1","1","0.0000","1","0","0","1","1","日本 Kikkoman 牛排酱 336g","0","simple","",""
"admin","base","Default","simple","335,364,557","041390001109","0","日本 Kikkoman 低钠酱油 591ml","No","00012","00012.html"," ","Use config","Use config","","","/00012/1.jpg","/00012/1.jpg","/00012/1.jpg","default/galayomarket","2 columns with left bar","Product Info Column","","","","5.29","","","2.04","","Enabled","Catalog, Search","None","No","","","","<p><strong>品名</strong> : Kikkoman 低钠酱油<br /> <strong>产地</strong> :美国<br /> <strong>成份</strong> : 水，小麦，大豆，盐，乳酸，苯甲酸钠;少于十分之一的1％作为防腐剂。<br /> <strong>保存期限</strong> :12个月</p>","万字低钠酱油传承仔细的酱油工艺，在发酵过程完成后，将40%盐份去除。虽然酱油减低了钠的含量，其味道和品质始终如一。","","","","","","","","","0.0000","0.0000","1","0","0","1","1.0000","1","0.0000","1","0","","0.0000","1","0","0","1","1","0.0000","1","0","0","1","1","日本 Kikkoman 低钠酱油 591ml","0","simple","",""
