"cart","购物车"
"Search entire store here...","找不到？试试搜索看看！"
"All Categories","全部商品"
"%s was successfully added to your shopping cart.","%s 成功加入购物车！"
"Cannot add the item to shopping cart.","加入购物车失败，请刷新页面，重新尝试。"
"Total of %d product(s) were successfully added to your shopping cart.","%d 件物品成功加入购物车！"
"Quote item is not found.","查询的物品不存在。"
"Cannot update the item.","更新商品信息失败，请刷新页面，重新尝试。"
"Purchasing this item you will earn %s","将此物品加入购物车，您将获得 %s"
"Applies only to registered customers, may vary when logged in.","注册并登陆，赚取海量积分，万千商品等你免费拿！"
"You have %s","您有 %s"
"Not Now","继续购物"
"View cart & checkout","查看购物车"
"Continue to Shipping Information","下一步"
"Pending","等待处理"
"Order Total","总价"
"Additional Address Entries","备选地址"
"Back to shop","继续购物"
"Move to Wishlist","移至愿望清单"
"Place Order","确认下单"
"Forgot an Item?","忘记商品？"
"You will earn:","您将获得:"
"Your order has been received.","订购成功！"
"Thank you for your purchase!","感谢您的购买！"
"You will receive an order confirmation email with details of your order and a link to track its progress.","稍等片刻，您将会收到一封系统发出的确认邮件。"
